Feature ID	Taxon	Confidence
589c923414414ac52ce2c67b96383ed1	k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41; f__RFP12; g__; s__	1.0
a354ed151b8c53cb629c666658050944	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae	0.8725338711038738
6a55472f4d57c551cc1beec682141140	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0.8815912950071856
3738d9d706074aa4494872313cf6200b	k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41; f__RFP12; g__; s__	0.9999999999999858
dc9aa0bc50988793f612012d8a4985f0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.8341175148506881
0a34ac5ecc4caace5ee09fd4ebae671d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Pseudobutyrivibrio; s__	0.9999988079801198
82d54c4fe27bf73b72d8196ec9b4f9ea	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__symbiosum	0.9994747006841301
f6f369bd3258b683069e8f55a139c210	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.9611931100997839
31e24b85c57b4768ee0e93e50853a77e	k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41; f__RFP12; g__; s__	0.999999999999929
2623377f4c2799560c6b0a66d5fc2081	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0.7735939854610189
4b4888502a1b545357f93b68eb251813	k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41; f__RFP12; g__; s__	0.9999999999995737
b02327587eafa2a99f3505b21688a550	k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41; f__RFP12; g__; s__	0.9999999999998437
b98350f9173ce73ee923a48697974a5b	k__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanocorpusculaceae; g__Methanocorpusculum; s__	0.9979909812271711
5e1ec7a3fd892cbfded908f0432d7f04	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium	0.9989076752466386
9ce3d9b46b0ec70425e7b431045081b3	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__aldenense	0.8490952988731566
16f5aea05596e3dc110f4396e4ecf98e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Anaerovibrio; s__	0.9999759502379909
1613e94a2571e1d10a9cf997b76bfa75	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Epulopiscium; s__	0.9999971698892951
eda63b5e5f0b05a27d558e0c944db373	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae	0.9999991075637927
eeac51662c155c183204f77c88e53ae3	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.8091133735028115
c26e8fd8e085c346a9939420f34c44f6	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__BF311; s__	0.9998147170538179
2f4538b73d7546621acb5f8fc2a5ed63	k__Bacteria; p__Spirochaetes; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema; s__	0.9999999973010318
fda9ca0561abab756928c7224ee67e54	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__RF16; g__; s__	0.9999976380423631
843e54778c922ff434a8d12c26a2550b	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__	0.9999983043008907
2c63ecd02f36eb41b0cd04fcffe5fbc9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__	0.7889037525839461
